Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Horse,Przewalski's Horse,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,"Viviparous,Precocial,Social,Herding,Dominance hierarchy,Domesticated,starts with","{'Geography': {}, 'Biome': ['Anthropogenic biome'], 'Climate': []}","{'Lifestyle': 'Viviparous, Precocial'}",,{},{}
Goat,Wild Goat,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Donkey,African Wild Ass,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,Equus,Equus africanus asinus,41 Mln,12-50 yrs,24 km/h,,"Diurnal,Herbivore,Terrestrial,Precocial,Grazing,Polygyny,Social,Not a migrant,starts with","{'Geography': {}, 'Biome': [], 'Climate': ['Tropical', 'Arid', 'Temperate', 'Cold']}","{'Group name': 'herd, coffle, drove, pace', 'Lifestyle': 'Terrestrial, Precocial, Grazing,', 'Seasonal behavior': 'Not a migrant'}",Herbivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'Year-round', 'Pregnancy duration': '11-14 months', 'Baby carrying': '1 foal', 'Independent age': '5 months', 'Female name': 'jenny, jennet', 'Male name': 'jack, jackass', 'Baby name': 'foal, colt'}",{'Population status': 'Not evaluated (NE)'}
Bengal tiger,Tiger,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Wwf biomes': 'Mangrove'}, 'Biome': [], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Domesticated Ferret,European Polecat,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Mustelidae,Mustelinae,,Mustela,Mustela putorius furo,7-10 yrs,,25 km/h,"Crepuscular,Carnivore,Terrestrial,Altricial,Burrowing,Polygyny,Social,Not a migrant,Domesticated,starts with","{'Geography': {'Biogeographical realms': 'Australasian, Afrotropical, Nearctic, Neotropical, Indomalayan, Palearctic'}, 'Biome': [], 'Climate': []}","{'Group name': 'business, cast, fesnying, fesynes, feamyng', 'Lifestyle': 'Terrestrial, Altricial, Burrowing,', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'March-August', 'Pregnancy duration': '42 days', 'Baby carrying': '3-7 kits', 'Independent age': '3 months', 'Female name': 'jill', 'Male name': 'hob', 'Baby name': 'kit'}",{}
Kodiak bear,Brown Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Asian Lion,Lion,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera leo persica,350,16-18 yrs,56 km/h,110-190 kg,"Nocturnal,Carnivore,Scavenger,Terrestrial,Altricial,Ambush predator,Apex predator,Viviparous,Polygyny,Social,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Wwf biomes': 'Tropical dry forest'}, 'Biome': ['Forest'], 'Climate': ['Arid']}","{'Group name': 'pride, sault, troop, sawt', 'Lifestyle': 'Terrestrial, Altricial, Ambush predator, Apex predator,  Viviparous', 'Seasonal behavior': 'Not a migrant'}","Carnivore,,Scavenger","{'Mating behavior': 'Polygyny', 'Reproduction season': 'any time of the year', 'Pregnancy duration': '100-119 days', 'Baby carrying': '1-6 cubs', 'Independent age': '1 year', 'Female name': 'lioness', 'Male name': 'lion', 'Baby name': 'cub'}","{'Population trend': 'Stable', 'Population status': 'Endangered (EN)'}"
Japanese raccoon dog,Raccoon Dog,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,"Nocturnal,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Domestic Pig,Wild Boar,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa domesticus,784.83 Mln,9-12 yrs,,17 km/h,"Diurnal,Omnivore,Terrestrial,Precocial,Burrowing,Grazing,Monogamy,Social,Herding,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Agricultural', 'Anthropogenic biome'], 'Climate': ['Tropical', 'Arid', 'Temperate', 'Cold']}","{'Group name': 'drift, drove, herd, litter (piglets), sounder', 'Lifestyle': 'Terrestrial,  Precocial, Burrowing, Grazing,', 'Seasonal behavior': 'Not a migrant'}","Omnivore,","{'Mating behavior': 'Monogamy', 'Reproduction season': 'summer and winter', 'Pregnancy duration': '114 days', 'Baby carrying': '12 piglets', 'Independent age': '3 months', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'piglet, farrow'}",{'Population status': 'Not evaluated (NE)'}
Florida panther,Cougar,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,Puma,,,"Carnivore,Solitary,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Shrubland'], 'Climate': []}",{'Lifestyle': ''},Carnivore,{},{'Population status': 'Endangered (EN)'}
